file,num_segments,context_languages,strategy,comet,chrf,bleu,ter,bertscore
exif-0.6.22.pt_BR.llama.ctx-0.po.meta.csv,69,nan,LLAMA,67.79668434806491,29.663128534835693,16.909909117030814,85.56104523495827,79.16634160539378
exif-0.6.22.pt_BR.llama.ctx-1.de.po.meta.csv,69,DE,LLAMA,73.01539152428724,35.53925332049998,23.301272340135686,77.5944747683878,82.04825684644175
exif-0.6.22.pt_BR.llama.ctx-1.es.po.meta.csv,69,ES,LLAMA,80.33122761525969,47.03684636337066,27.25070727930645,61.55587970805362,85.67287792330202
exif-0.6.22.pt_BR.llama.ctx-1.fr.po.meta.csv,69,FR,LLAMA,76.00698652474776,42.30188237745158,30.206719239016575,73.89495367756236,84.1497968936312
exif-0.6.22.pt_BR.llama.ctx-1.id.po.meta.csv,69,ID,LLAMA,73.30420056115027,30.19051886891732,17.565119621585858,78.61377752682101,81.65713868279389
exif-0.6.22.pt_BR.llama.ctx-1.ru.po.meta.csv,69,RU,LLAMA,76.66515142157458,39.26507869163002,23.71138433546164,72.618158813811,83.5246027379796
exif-0.6.22.pt_BR.llama.ctx-1.vi.po.meta.csv,69,VI,LLAMA,69.28141294182211,28.214051917904257,21.18720096782152,80.98375054896795,80.82937364992888
exif-0.6.22.pt_BR.llama.ctx-1.zh_CN.po.meta.csv,69,ZH_CN,LLAMA,72.90310315463854,32.21789562419079,18.607099331391304,80.9399899617291,80.75355490048726
exif-0.6.22.pt_BR.llama.ctx-2.de-es.po.meta.csv,69,"DE,ES",LLAMA,76.01607761521271,39.13681245730694,24.80858829887258,74.88001129305476,83.33509236142255
exif-0.6.22.pt_BR.llama.ctx-2.de-fr.po.meta.csv,69,"DE,FR",LLAMA,73.61534034860307,39.58400712074082,26.89897824986237,74.50676537633059,83.16370784372523
exif-0.6.22.pt_BR.llama.ctx-2.de-id.po.meta.csv,69,"DE,ID",LLAMA,75.89004039764404,37.984224298953656,23.827461094190976,74.22433444172574,83.49480102027673
exif-0.6.22.pt_BR.llama.ctx-2.de-ru.po.meta.csv,69,"DE,RU",LLAMA,76.27024184102598,37.816504452063704,23.780875434116876,75.23197816676078,83.50992220035498
exif-0.6.22.pt_BR.llama.ctx-2.de-vi.po.meta.csv,69,"VI,DE",LLAMA,71.59917315711145,29.925824626659058,22.625502551830937,80.32807369763891,81.70224056727645
exif-0.6.22.pt_BR.llama.ctx-2.de-zh_CN.po.meta.csv,69,"DE,ZH_CN",LLAMA,75.58244954848635,37.71470567037106,23.23418580385545,77.4841060710626,83.30550565235856
exif-0.6.22.pt_BR.llama.ctx-2.es-fr.po.meta.csv,69,"FR,ES",LLAMA,76.30900157534558,44.395539941828154,26.536617928620032,71.55253361775101,84.3033278333968
exif-0.6.22.pt_BR.llama.ctx-2.es-id.po.meta.csv,69,"ES,ID",LLAMA,79.6602581722149,44.735922512610244,25.660444736601296,65.35792709705753,85.48936489699544
exif-0.6.22.pt_BR.llama.ctx-2.es-ru.po.meta.csv,69,"ES,RU",LLAMA,80.15822223995043,48.264743235720076,28.182026305004452,62.08325490934186,85.8073549858038
exif-0.6.22.pt_BR.llama.ctx-2.es-vi.po.meta.csv,69,"VI,ES",LLAMA,74.67124107955159,35.647914853505384,23.813407994920507,74.5573749921576,83.07112386261207
exif-0.6.22.pt_BR.llama.ctx-2.es-zh_CN.po.meta.csv,69,"ES,ZH_CN",LLAMA,80.74765006701152,48.515661486235835,28.193144563138734,60.357927097057534,86.24714725259422
exif-0.6.22.pt_BR.llama.ctx-2.fr-id.po.meta.csv,69,"FR,ID",LLAMA,75.81446827321813,39.257559881010685,24.61660805219536,76.48582094234268,83.44436987586643
exif-0.6.22.pt_BR.llama.ctx-2.fr-ru.po.meta.csv,69,"FR,RU",LLAMA,76.18560670078665,42.390924598101456,27.17882024501104,73.2813120856599,84.1820478439331
exif-0.6.22.pt_BR.llama.ctx-2.fr-vi.po.meta.csv,69,"VI,FR",LLAMA,72.64161101285963,35.03783132660785,25.208205549308396,77.76486396051614,81.8973940351735
exif-0.6.22.pt_BR.llama.ctx-2.fr-zh_CN.po.meta.csv,69,"FR,ZH_CN",LLAMA,75.49912281658338,42.087239908642054,27.34530366790872,71.84468912729781,84.26296987395355
exif-0.6.22.pt_BR.llama.ctx-2.id-ru.po.meta.csv,69,"ID,RU",LLAMA,73.23157890983249,30.52890207139361,16.689986033400018,80.83599974904322,81.89434115437494
exif-0.6.22.pt_BR.llama.ctx-2.id-vi.po.meta.csv,69,"VI,ID",LLAMA,70.60758000698642,27.10870755222433,18.75931072830615,82.76198841416233,80.92881380647853
exif-0.6.22.pt_BR.llama.ctx-2.id-zh_CN.po.meta.csv,69,"ID,ZH_CN",LLAMA,73.84738805501357,32.038949607576825,18.208825279417557,77.88558462471505,82.3446936365487
exif-0.6.22.pt_BR.llama.ctx-2.ru-vi.po.meta.csv,69,"VI,RU",LLAMA,72.66328200913858,30.107582361563498,19.60509787436571,79.45631260848651,81.60323155099067
exif-0.6.22.pt_BR.llama.ctx-2.ru-zh_CN.po.meta.csv,69,"RU,ZH_CN",LLAMA,77.35466469025266,39.383023237399506,22.799878868381793,71.08146684233641,83.37535236192787
exif-0.6.22.pt_BR.llama.ctx-2.vi-zh_CN.po.meta.csv,69,"VI,ZH_CN",LLAMA,73.14001926477404,34.470540827023584,24.779777648372104,77.02987431248302,82.07015256950821
