project,strategy,ctx_level,ctx_lang,bleu,baseline_bleu,delta,rank
aspell_v0.60.8.1,LLAMA,ctx-1,ES,34.45282164657465,22.370671111051493,12.082150535523155,1
aspell_v0.60.8.1,LLAMA,ctx-1,FR,30.840891175164508,22.370671111051493,8.470220064113015,2
aspell_v0.60.8.1,LLAMA,ctx-1,RU,30.463550056816928,22.370671111051493,8.092878945765435,3
aspell_v0.60.8.1,LLAMA,ctx-1,ID,26.70454136898518,22.370671111051493,4.333870257933686,4
aspell_v0.60.8.1,LLAMA,ctx-1,VI,26.24113692571447,22.370671111051493,3.8704658146629782,5
aspell_v0.60.8.1,LLAMA,ctx-1,ZH_CN,25.97734524315202,22.370671111051493,3.606674132100526,6
aspell_v0.60.8.1,LLAMA,ctx-1,DE,24.921329367399167,22.370671111051493,2.550658256347674,7
bison-runtime_v3.5.90,LLAMA,ctx-1,RU,64.36465578536763,20.73317560978742,43.63148017558021,1
bison-runtime_v3.5.90,LLAMA,ctx-1,ID,59.82386580705069,20.73317560978742,39.09069019726327,2
bison-runtime_v3.5.90,LLAMA,ctx-1,FR,50.62395892522729,20.73317560978742,29.890783315439872,3
bison-runtime_v3.5.90,LLAMA,ctx-1,DE,50.11812441571917,20.73317560978742,29.384948805931753,4
bison-runtime_v3.5.90,LLAMA,ctx-1,ES,48.678741364502194,20.73317560978742,27.945565754714774,5
bison-runtime_v3.5.90,LLAMA,ctx-1,ZH_CN,46.16055611227603,20.73317560978742,25.427380502488614,6
bison-runtime_v3.5.90,LLAMA,ctx-1,VI,18.70584170705975,20.73317560978742,-2.027333902727669,7
diffutils_v3.10.242,LLAMA,ctx-1,ES,37.00620372879567,26.87523277705182,10.130970951743848,1
diffutils_v3.10.242,LLAMA,ctx-1,FR,32.926922845797996,26.87523277705182,6.051690068746176,2
diffutils_v3.10.242,LLAMA,ctx-1,RU,29.692543970041548,26.87523277705182,2.8173111929897274,3
diffutils_v3.10.242,LLAMA,ctx-1,ZH_CN,28.95057518310586,26.87523277705182,2.075342406054041,4
diffutils_v3.10.242,LLAMA,ctx-1,ID,25.60784531926196,26.87523277705182,-1.2673874577898623,5
diffutils_v3.10.242,LLAMA,ctx-1,VI,24.337896905981065,26.87523277705182,-2.5373358710707556,6
exif_v0.6.22,LLAMA,ctx-1,FR,30.206719239016575,16.909909117030814,13.29681012198576,1
exif_v0.6.22,LLAMA,ctx-1,ES,27.25070727930645,16.909909117030814,10.340798162275636,2
exif_v0.6.22,LLAMA,ctx-1,RU,23.71138433546164,16.909909117030814,6.801475218430827,3
exif_v0.6.22,LLAMA,ctx-1,DE,23.30127234013569,16.909909117030814,6.391363223104875,4
exif_v0.6.22,LLAMA,ctx-1,VI,21.18720096782152,16.909909117030814,4.277291850790707,5
exif_v0.6.22,LLAMA,ctx-1,ZH_CN,18.607099331391304,16.909909117030814,1.6971902143604893,6
exif_v0.6.22,LLAMA,ctx-1,ID,17.565119621585858,16.909909117030814,0.6552105045550434,7
gst-plugins-bad_v1.27.90,LLAMA,ctx-1,DE,40.02179988902089,35.08725840716348,4.9345414818574085,1
gst-plugins-bad_v1.27.90,LLAMA,ctx-1,FR,38.8874675640643,35.08725840716348,3.80020915690082,2
gst-plugins-bad_v1.27.90,LLAMA,ctx-1,ES,37.33131344698211,35.08725840716348,2.244055039818626,3
gst-plugins-bad_v1.27.90,LLAMA,ctx-1,RU,37.20364769014608,35.08725840716348,2.1163892829825954,4
gst-plugins-bad_v1.27.90,LLAMA,ctx-1,ZH_CN,35.097352108028055,35.08725840716348,0.010093700864572952,5
gst-plugins-bad_v1.27.90,LLAMA,ctx-1,VI,31.43133070879713,35.08725840716348,-3.6559276983663516,6
gst-plugins-bad_v1.27.90,LLAMA,ctx-1,ID,27.680315239779837,35.08725840716348,-7.406943167383645,7
gst-plugins-ugly_v1.27.90,LLAMA,ctx-1,ES,43.72586630004285,26.73616106438515,16.989705235657702,1
gst-plugins-ugly_v1.27.90,LLAMA,ctx-1,RU,33.49569192802572,26.73616106438515,6.75953086364057,2
